run_date,hour_pst,hour_utc,slug,provider,model_id,model_name,tier,max_tokens,prompt_tokens,output_tokens,elapsed_ms,tokens_per_sec,cost,status,error,measured_at
2026-09-08,17,00,north-mini-code-free,openrouter,cohere/north-mini-code:free,North Mini Code Free,free,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:15.139951+00:00
2026-09-08,17,00,phi-4,openrouter,microsoft/phi-4,Phi-4,budget_taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:15.369580+00:00
2026-09-08,17,00,deepseek-v4-flash-max,openrouter,deepseek/deepseek-v4-flash-0731,DeepSeek V4 Flash 0731,budget_taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:15.601694+00:00
2026-09-08,17,00,deepseek-v4-flash,openrouter,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,budget_taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:15.828600+00:00
2026-09-08,17,00,deepseek-v3-2,openrouter,deepseek/deepseek-v3.2,DeepSeek V3.2,budget_taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:16.060537+00:00
2026-09-08,17,00,llama-4-maverick,openrouter,meta-llama/llama-4-maverick,Llama 4 Maverick,budget_taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:16.278607+00:00
2026-09-08,17,00,deepseek-chat-v3,openrouter,deepseek/deepseek-chat-v3,DeepSeek Chat V3,budget_taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:16.511950+00:00
2026-09-08,17,00,deepseek-v4-pro,openrouter,deepseek/deepseek-v4-pro-0813,DeepSeek V4 Pro 0813,taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:16.745872+00:00
2026-09-08,17,00,codestral,openrouter,mistralai/codestral-2508,Codestral,budget_taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:16.979176+00:00
2026-09-08,17,00,deepseek-v4-pro-max,openrouter,deepseek/deepseek-v4-pro,DeepSeek V4 Pro Max,taskrunner,250,0,0,0,0.0,0.000000,error,"HTTP 401: {""error"":{""message"":""User not found."",""code"":401}}",2026-09-08T00:00:17.210452+00:00
